epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,1205.78,1.70804,8.81564,0.0875,0.16455,0.25901,0.27546,0.22484,0.13785,1.51964,5.03283,0.09385,0.12873,0.000333036,0.000333036,0.00700268
2,2288.94,1.72778,5.43387,0.08621,0.16029,0.38336,0.42587,0.3552,0.21336,1.51021,4.1085,0.09992,0.13693,0.000654375,0.000654375,0.00399068
3,3363.24,1.74612,4.96785,0.08473,0.1628,0.51913,0.4363,0.42961,0.2515,1.55007,3.93679,0.09691,0.14008,0.000963713,0.000963713,0.000966687
4,4432.6,1.7358,4.64504,0.085,0.16108,0.49633,0.48958,0.47623,0.28046,1.48339,3.48482,0.09487,0.11085,0.000946,0.000946,0.000946
5,5497.93,1.73014,4.4168,0.08596,0.16068,0.51088,0.52899,0.50307,0.31127,1.46411,3.1699,0.09955,0.10852,0.000928,0.000928,0.000928
6,6555.68,1.70984,4.26703,0.08661,0.15879,0.58286,0.54496,0.54326,0.33356,1.43999,3.19587,0.0951,0.139,0.00091,0.00091,0.00091
7,7620.78,1.71197,4.12918,0.08591,0.15936,0.58468,0.58935,0.5612,0.34932,1.38669,3.08827,0.09158,0.11151,0.000892,0.000892,0.000892
8,8669.7,1.68047,3.99514,0.08436,0.15939,0.58573,0.57185,0.58055,0.35824,1.43302,2.9091,0.09468,0.11853,0.000874,0.000874,0.000874
9,9698.99,1.66986,3.89245,0.08561,0.15381,0.62666,0.58048,0.59165,0.37166,1.38837,2.87679,0.09317,0.10573,0.000856,0.000856,0.000856
10,10739.8,1.66068,3.82622,0.08495,0.15243,0.61248,0.59528,0.60097,0.37642,1.39259,2.81289,0.09443,0.13249,0.000838,0.000838,0.000838
11,11779.3,1.65837,3.74024,0.08439,0.15037,0.64296,0.59803,0.62217,0.39056,1.35387,2.72222,0.09166,0.10843,0.00082,0.00082,0.00082
12,12808.3,1.65841,3.675,0.08538,0.15232,0.65639,0.60405,0.61724,0.39089,1.35596,2.59454,0.09181,0.11009,0.000802,0.000802,0.000802
13,13839.1,1.6393,3.62045,0.08439,0.14951,0.66556,0.618,0.63889,0.40898,1.32748,2.65324,0.09217,0.11253,0.000784,0.000784,0.000784
14,14870.3,1.62875,3.57301,0.08482,0.1485,0.64262,0.62114,0.63003,0.41019,1.30609,2.62305,0.08955,0.11148,0.000766,0.000766,0.000766
15,15897,1.61983,3.49983,0.08513,0.14541,0.67252,0.63678,0.64464,0.41967,1.30443,2.56254,0.0883,0.10211,0.000748,0.000748,0.000748
16,16916.5,1.62203,3.49993,0.08529,0.14669,0.66487,0.61515,0.6469,0.41487,1.32037,2.54557,0.08919,0.11642,0.00073,0.00073,0.00073
17,17957.1,1.61983,3.43035,0.08489,0.14826,0.66424,0.6306,0.64601,0.41628,1.29781,2.52781,0.08802,0.11555,0.000712,0.000712,0.000712
18,18995.2,1.59618,3.38466,0.08388,0.1437,0.70038,0.63657,0.65579,0.42555,1.31541,2.46548,0.08949,0.10738,0.000694,0.000694,0.000694
19,20039.4,1.5862,3.32439,0.08423,0.14358,0.68439,0.64651,0.66034,0.43687,1.26471,2.47863,0.08762,0.10389,0.000676,0.000676,0.000676
20,21076.7,1.58131,3.31415,0.08383,0.14209,0.69826,0.6389,0.66205,0.43934,1.26474,2.4058,0.08779,0.10358,0.000658,0.000658,0.000658
