epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2426.05,1.66011,8.31939,0.06091,0.16891,0.2692,0.31159,0.264,0.1553,1.45586,4.70847,0.07437,0.12446,0.00599732,0.00199911,0.00599732,0.00199911,0.0860062,0.082008,0.00599732,0.00199911
2,4404.63,1.64204,5.30078,0.06134,0.15688,0.39646,0.42055,0.38903,0.23351,1.42164,3.84483,0.07455,0.12454,0.0117576,0.00391921,0.0117576,0.00391921,0.0717665,0.0639281,0.0117576,0.00391921
3,6316.8,1.62365,4.74064,0.06217,0.15227,0.44402,0.48936,0.45663,0.27462,1.3585,3.55008,0.07283,0.12918,0.0172782,0.00575938,0.0172782,0.00575938,0.0572871,0.0457683,0.0172782,0.00575938
4,8343.74,1.6162,4.55503,0.06203,0.15263,0.51255,0.5046,0.48135,0.29065,1.40877,3.31527,0.07218,0.12552,0.0225589,0.00751964,0.0225589,0.00751964,0.0425678,0.0275286,0.0225589,0.00751964
5,10360.9,1.64207,4.64701,0.0628,0.15855,0.51099,0.50706,0.48455,0.289,1.39675,3.35137,0.07226,0.1399,0.0275999,0.00919998,0.0275999,0.00919998,0.0276089,0.0092089,0.0275999,0.00919998
6,12362.4,1.65394,4.61509,0.06116,0.16304,0.50531,0.54146,0.49564,0.30272,1.36996,3.13378,0.07271,0.11342,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001
7,14380.5,1.6317,4.44163,0.06093,0.15886,0.55583,0.56577,0.5486,0.33032,1.35091,3.08096,0.07145,0.11619,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012
8,16362.5,1.62231,4.31516,0.06225,0.15609,0.57268,0.57292,0.57452,0.35022,1.3316,2.95902,0.07069,0.10909,0.0258042,0.0086014,0.0258042,0.0086014,0.0258042,0.0086014,0.0258042,0.0086014
9,2046.3,1.60621,4.18648,0.06212,0.15525,0.5548,0.58549,0.56686,0.35436,1.29583,2.88489,0.06963,0.11089,0.0252048,0.0084016,0.0252048,0.0084016,0.0252048,0.0084016,0.0252048,0.0084016
10,3870.81,1.59575,4.1104,0.06177,0.15449,0.5582,0.58269,0.56949,0.35726,1.29489,2.82885,0.07123,0.11664,0.0246054,0.0082018,0.0246054,0.0082018,0.0246054,0.0082018,0.0246054,0.0082018
11,5672.59,1.57203,3.97978,0.06174,0.15048,0.58279,0.62394,0.59427,0.3729,1.28461,2.77932,0.06988,0.1036,0.024006,0.008002,0.024006,0.008002,0.024006,0.008002,0.024006,0.008002
12,7499.37,1.55633,3.87474,0.06071,0.14902,0.63602,0.62746,0.63044,0.39528,1.27273,2.62194,0.06893,0.10861,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
13,9333.53,1.55583,3.85165,0.06196,0.14788,0.65569,0.61541,0.62719,0.40183,1.23688,2.53759,0.06894,0.10638,0.0228072,0.0076024,0.0228072,0.0076024,0.0228072,0.0076024,0.0228072,0.0076024
